median_household_income,median_home_value,median_gross_rent,population,median_year_built_neighborhood,mean_commute_time,zip,vacancy_rate,pct_bachelors_plus,poverty_rate,homeownership_rate
109207.0,367700.0,1657.0,21866.0,1958,9873.0,19040,0.0454270871088559,0.23002622657199515,0.05593158327997805,0.7245918238197696
147531.0,908600.0,2250.0,6088.0,1961,2035.0,19041,0.07653061224489799,0.3170851797144264,0.0450065703022339,0.6464088397790055
113494.0,249800.0,1171.0,3550.0,1959,1702.0,19043,0.0,0.1645718774548311,0.08647887323943662,0.799083269671505
96189.0,372900.0,1434.0,17134.0,1979,8265.0,19044,0.04045352743561026,0.2852023424525828,0.04727442511964515,0.5970824215900802
112959.0,446800.0,1433.0,19143.0,1955,6808.0,19046,0.0901639344262295,0.33988950276243096,0.059186125476675545,0.6805065935500718
110395.0,441200.0,1770.0,34182.0,1980,14520.0,19047,0.02494296577946764,0.2547249307812688,0.06506348370487391,0.7253938543128997
62517.0,188700.0,1166.0,28819.0,1946,12524.0,19050,0.057109098070106334,0.1782747900329451,0.10951108643603179,0.6263993316624895
102241.0,382300.0,1401.0,28000.0,1971,12138.0,19053,0.04193172654780042,0.23901255707762556,0.05010714285714286,0.8469091929299541
108537.0,330200.0,1535.0,17597.0,1958,8402.0,19054,0.015082956259426794,0.19629509262268444,0.0688185486162414,0.7941807044410414
82336.0,275300.0,1550.0,13734.0,1957,5873.0,19055,0.03831794065631755,0.12853603138550485,0.10026212319790301,0.8126277073968124
104382.0,360000.0,1409.0,15634.0,1958,7130.0,19056,0.017744610281923756,0.19959134392124084,0.06453882563643341,0.7200742866790478
95089.0,299900.0,1518.0,17924.0,1957,8868.0,19057,0.019993800371977732,0.2025130548302872,0.08703414416424905,0.798038905582793
174756.0,516400.0,,11476.0,1996,4926.0,19060,0.03487766788131186,0.2715107553776888,0.016382014639247124,0.9859762675296656
77249.0,229700.0,1215.0,20135.0,1959,8679.0,19061,0.029232788450065605,0.13619750362043997,0.08924757884281102,0.6301622418879056
121899.0,505500.0,1623.0,38206.0,1971,15515.0,19063,0.052579365079365115,0.290186783642281,0.03978432706904675,0.6965314136125654
132230.0,389600.0,1511.0,25137.0,1955,9840.0,19064,0.02522909831428899,0.2766965355858684,0.030751481879301427,0.9396471680594243
243500.0,871300.0,2319.0,5893.0,1938,1837.0,19066,0.040728831725616255,0.23668639053254437,0.03156287120312235,0.8949720670391061
131604.0,483000.0,1599.0,53596.0,1975,21365.0,19067,0.04552129221732748,0.29935560983214676,0.05496678856631092,0.7983653846153846
81375.0,283900.0,1300.0,6057.0,1956,2609.0,19070,0.005910602142593313,0.21092362344582594,0.07396400858510814,0.7439613526570048
175833.0,776500.0,1956.0,10352.0,1949,3422.0,19072,0.033636363636363686,0.3386454183266932,0.023377125193199382,0.7241298212605832
131061.0,581400.0,1987.0,21587.0,1975,7496.0,19073,0.02567958357432043,0.3607891652558927,0.03256589614119609,0.794728718983735
89135.0,227500.0,1247.0,5915.0,1950,2865.0,19074,0.09470752089136492,0.19369476952471937,0.06999154691462384,0.7345054945054945
117356.0,415400.0,1204.0,7779.0,1954,3278.0,19075,0.018899204244031798,0.3356528108405054,0.020696747653940094,0.9043595809395066
65238.0,239300.0,1154.0,6411.0,1948,3338.0,19076,0.04701492537313434,0.16765830854228644,0.13008890968647638,0.5743931088488645
93456.0,244500.0,1318.0,11742.0,1955,5398.0,19078,0.03783457436103843,0.20218706375058165,0.05024697666496338,0.6831206860489437
57002.0,159800.0,1212.0,9014.0,1957,3367.0,19079,0.09505171931786416,0.18956999085086917,0.24950077656978034,0.6110596231078159
129973.0,333600.0,1452.0,10363.0,1954,4467.0,19081,0.038193548387096765,0.284221683827983,0.04660812506031072,0.8100348806010196
55551.0,155400.0,1178.0,41875.0,1945,19702.0,19082,0.06837555886736213,0.16917100344499011,0.19324179104477612,0.4831072434092654
120233.0,424100.0,1386.0,37220.0,1950,14690.0,19083,0.014834205933682343,0.32770734387879263,0.04583557227297152,0.884927664599941
250001.0,1007400.0,,10679.0,1962,3300.0,19085,0.05500000000000005,0.40700808625336926,0.008802322314823485,0.993533215755438
143762.0,425200.0,1788.0,12835.0,1962,4761.0,19086,0.027352297592997843,0.34025974025974026,0.0522789248149591,0.8870641169853768
165451.0,693200.0,2130.0,33770.0,1969,12718.0,19087,0.05433003351781118,0.376554656053548,0.03218833283979864,0.7232113419057039
97341.0,338000.0,1606.0,19926.0,1959,8674.0,19090,0.06841911313106497,0.2724485981308411,0.050436615477265884,0.6628428270042194
63307.0,244000.0,1287.0,4517.0,1956,1733.0,19094,0.0424274973147154,0.24616433685646097,0.05556785477086562,0.7066741446999439
108250.0,419400.0,1776.0,7759.0,1964,3199.0,19095,0.100755011715699,0.29981916817359855,0.1215362804485114,0.5263462651997683
186648.0,711600.0,2107.0,15136.0,1953,4623.0,19096,0.012385476756023084,0.29035659509202455,0.04492600422832981,0.7785603848136059
60441.0,244000.0,1221.0,65821.0,1957,26173.0,19111,0.06057853041645467,0.16009852216748768,0.14990656477416023,0.5534021894704266
70388.0,330500.0,1230.0,34737.0,1968,14236.0,19115,0.026939154667905196,0.2130438112745098,0.08192993062152748,0.6204568700988748
67558.0,321400.0,1214.0,33421.0,1969,13391.0,19116,0.04073132853310746,0.2534799114204366,0.1434726668860896,0.599455441901538
89639.0,330800.0,1563.0,37018.0,1961,17339.0,19128,0.0565610859728507,0.31494408675025415,0.06993894861959046,0.5678433996988456
61257.0,225400.0,1282.0,23582.0,1954,9153.0,19150,0.053367684946632354,0.16023277252823231,0.11317954371978628,0.7919906687402799
157500.0,537300.0,1802.0,8319.0,1968,2862.0,19301,0.04173012488577521,0.3359805510534846,0.03882678206515206,0.8210425937698665
87679.0,289300.0,1392.0,3035.0,1982,1202.0,19310,0.009771986970684043,0.1924198250728863,0.19505766062602967,0.8322368421052632
146723.0,524700.0,1397.0,12262.0,2000,5146.0,19311,0.027911697538695712,0.2645440251572327,0.02210079921709346,0.8459932132602453
199107.0,805400.0,1678.0,11901.0,1969,4063.0,19312,0.029827662395050858,0.3787580088713652,0.07629610957062431,0.8467319517194261
154933.0,588600.0,2003.0,10844.0,1986,4248.0,19317,0.03679962013295346,0.3563621643502901,0.02637403172261158,0.859009120039438
,569900.0,,713.0,1938,258.0,19319,0.0,0.311046511627907,0.0,1.0
88852.0,302700.0,1427.0,55671.0,1980,24882.0,19320,0.05471956224350205,0.20933184797533616,0.09949524887284224,0.7320225560157693
112885.0,389500.0,1139.0,5678.0,1987,2289.0,19330,0.011978917105893605,0.2499349127831294,0.042972877773864035,0.8889427740058196
157083.0,688700.0,1833.0,7616.0,1968,2839.0,19333,0.0,0.4145616641901932,0.03715861344537815,0.6627179993418888
136839.0,464400.0,1647.0,52524.0,1987,20951.0,19335,0.01967843756164922,0.3813315997616339,0.029833980656461808,0.7995673391356845
122992.0,486900.0,2045.0,20660.0,1990,8120.0,19341,0.04615050494081874,0.3942600276625173,0.028170377541142304,0.5034153005464481
136647.0,579400.0,2298.0,20654.0,1995,6016.0,19342,0.0503482830257852,0.2582785851748623,0.018785707369032633,0.7237163814180929
161964.0,543800.0,1816.0,8595.0,1987,3203.0,19343,0.04693814112527195,0.40853253652058436,0.020942408376963352,0.8747553816046967
84164.0,303900.0,1348.0,12910.0,1989,4993.0,19344,0.030334510700187,0.15941011235955055,0.08760650658404338,0.7778015856010285
118367.0,518200.0,1588.0,23435.0,1983,8929.0,19348,0.04413359358056823,0.31611519607843136,0.053253680392575206,0.7110606920022688
152264.0,494300.0,1405.0,10401.0,1990,4088.0,19350,0.05285571142284573,0.3159794530056921,0.03740024997596385,0.9121925416556467
169167.0,458700.0,1604.0,11689.0,1997,4887.0,19352,0.03414064779690695,0.3460602372984484,0.018051159209513216,0.9613293051359516
